id,reading,writing,reason,suggested_reading,suggested_writing,note
n1_egg_2146,かなづち,金槌,duplicate_lower_level,かなづち,金槌,Already present as N3 n3_1120.
n1_egg_2220,しつぎょう,失業,duplicate_lower_level,しつぎょう,失業,Already present as N3 n3_1159.
n1_egg_1498,まかなう,賄う,duplicate_lower_level,まかなう,賄う,Already present as N3 n3_1556.
n1_egg_0265,みっともない,みっともない,duplicate_lower_level,みっともない,みっともない,Already present as N3 n3_1815.
n1_0842,やみ,闇,duplicate_lower_level,やみ,闇,Already present as N2 n2_egg_0047.
n1_1783,なやみ,悩み,duplicate_lower_level,なやみ,悩み,Already present as N2 n2_egg_0164.
n1_1235,ふきん,付近,duplicate_lower_level,ふきん,付近,Already present as N2 n2_egg_0170.
n1_0844,いちめん,一面,duplicate_lower_level,いちめん,一面,Already present as N2 n2_egg_0175.
n1_1467,けんりょく,権力,duplicate_lower_level,けんりょく,権力,Already present as N2 n2_egg_0316.
n1_1958,しんそう,真相,duplicate_lower_level,しんそう,真相,Already present as N2 n2_egg_0416.
n1_1668,はじ,恥,duplicate_lower_level,はじ,恥,Already present as N2 n2_egg_0434.
n1_0865,てんじる,転じる,duplicate_lower_level,てんじる,転じる,Already present as N2 n2_egg_0757.
n1_1238,ポット,ポット,duplicate_lower_level,ポット,ポット,Already present as N2 n2_egg_1119.
n1_0908,きょうせい,矯正,duplicate_lower_level,きょうせい,矯正,Already present as N2 n2_egg_1304.
n1_2043,さんぴ,賛否,duplicate_lower_level,さんぴ,賛否,Already present as N2 n2_egg_1891.
n1_1671,ふじゅん,不順,duplicate_lower_level,ふじゅん,不順,Already present as N2 n2_egg_1956.
n1_egg_0701,しょくりょう,食糧,duplicate_lower_level,しょくりょう,食糧,Already present as N3 n3_0604 after the N3 polluted reading was corrected.
n1_egg_0869,ちょう,長,duplicate_lower_level,ちょう,長,Already present as N3 n3_0746 after the N1 reading was corrected.
n1_1201,そり,機,source_row_polluted,そり,橇,Reading / writing / zh do not align; keep out of the playable dictionary until the original source is checked.
n1_1447,じゅうほう,重宝,duplicate_corrected_by_eggrolls,ちょうほう,重宝,Kept as n1_egg_1229 with the correct everyday reading and meaning.
n1_egg_1661,あっせん,斡旋,duplicate_same_n1_word,あっせん,斡旋,Already present as n1_1247.
n1_egg_2537,いちりつ,一律,duplicate_same_n1_word,いちりつ,一律,Already present as n1_1925.
n1_egg_0687,おそれいる,恐れ入る,duplicate_same_n1_word,おそれいる,恐れ入る,Already present as n1_1788.
n1_egg_0056,おびる,帯びる,duplicate_same_n1_word,おびる,帯びる,Already present as n1_1249.
n1_egg_0981,おもいつめる,思い詰める,duplicate_same_n1_word,おもいつめる,思い詰める,Already present as n1_1622.
n1_egg_0673,かんがい,感慨,duplicate_same_n1_word,かんがい,感慨,Already present as n1_1345.
n1_egg_0023,かんべん,勘弁,duplicate_same_n1_word,かんべん,勘弁,Already present as n1_1808.
n1_egg_2123,がいとう,街頭,duplicate_same_n1_word,がいとう,街頭,Already present as n1_0790.
n1_egg_0334,きゅうきょく,究極,duplicate_same_n1_word,きゅうきょく,究極,Already present as n1_1939.
n1_egg_0020,ぎせい,犠牲,duplicate_same_n1_word,ぎせい,犠牲,Already present as n1_1296.
n1_egg_1789,ごい,語彙,duplicate_same_n1_word,ごい,語彙,Already present as n1_1995.
