id,reading,writing,normalizedReading,playReading,zh,level,script
n3_0001,あいじょう,愛情,あいじょう,あいじょう,愛情,N3,kanji
n3_0003,いしき,意識,いしき,いしき,意識,N3,kanji
n3_0004,いどう,移動,いどう,いどう,移動,N3,kanji
n3_0005,いんしょう,印象,いんしょう,いんしょう,印象,N3,kanji
n3_0006,えいきょう,影響,えいきょう,えいきょう,影響,N3,kanji
n3_0008,おうえん,応援,おうえん,おうえん,支持、加油,N3,kanji
n3_0009,おせん,汚染,おせん,おせん,污染,N3,kanji
n3_0010,かいけつ,解決,かいけつ,かいけつ,解決,N3,kanji
n3_0011,かいぜん,改善,かいぜん,かいぜん,改善,N3,kanji
n3_0012,かくにん,確認,かくにん,かくにん,確認,N3,kanji
n3_0013,かんきょう,環境,かんきょう,かんきょう,環境,N3,kanji
n3_0015,かんしゃ,感謝,かんしゃ,かんしゃ,感謝,N3,kanji
n3_0016,かんせい,完成,かんせい,かんせい,完成,N3,kanji
n3_0017,きぎょう,企業,きぎょう,きぎょう,企業,N3,kanji
n3_0018,きじゅん,基準,きじゅん,きじゅん,基準、標準,N3,kanji
n3_0019,きょうりょく,協力,きょうりょく,きょうりょく,協力、合作,N3,kanji
n3_0020,きんし,禁止,きんし,きんし,禁止,N3,kanji
n3_0022,けいやく,契約,けいやく,けいやく,契約,N3,kanji
n3_0024,こうか,効果,こうか,こうか,效果,N3,kanji
n3_0027,さくせい,作成,さくせい,さくせい,建立、製作,N3,kanji
n3_0028,さんか,参加,さんか,さんか,參加,N3,kanji
n3_0029,しえん,支援,しえん,しえん,支援,N3,kanji
n3_0030,じっけん,実験,じっけん,じっけん,實驗,N3,kanji
n3_0031,じゅうよう,重要,じゅうよう,じゅうよう,重要,N3,kanji
n3_0032,じょうきょう,状況,じょうきょう,じょうきょう,狀況,N3,kanji
n3_0034,しょるい,書類,しょるい,しょるい,文件、書面資料,N3,kanji
n3_0035,しんこく,深刻,しんこく,しんこく,嚴重,N3,kanji
n3_0037,せいこう,成功,せいこう,せいこう,成功,N3,kanji
n3_0039,せいど,制度,せいど,せいど,制度,N3,kanji
n3_0040,せきにん,責任,せきにん,せきにん,責任,N3,kanji
n3_0042,そうぞう,想像,そうぞう,そうぞう,想像,N3,kanji
n3_0043,そんざい,存在,そんざい,そんざい,存在,N3,kanji
n3_0044,たいおう,対応,たいおう,たいおう,回應、處理,N3,kanji
n3_0045,たいど,態度,たいど,たいど,態度,N3,kanji
n3_0046,たんとう,担当,たんとう,たんとう,負責、承辦,N3,kanji
n3_0047,ちょうさ,調査,ちょうさ,ちょうさ,調查,N3,kanji
n3_0048,つうきん,通勤,つうきん,つうきん,通勤,N3,kanji
n3_0049,ていあん,提案,ていあん,ていあん,提案,N3,kanji
n3_0050,ていど,程度,ていど,ていど,程度,N3,kanji
n3_0051,とくちょう,特徴,とくちょう,とくちょう,特徵,N3,kanji
n3_0052,どりょく,努力,どりょく,どりょく,努力,N3,kanji
n3_0053,にんき,人気,にんき,にんき,人氣、受歡迎,N3,kanji
n3_0054,はっけん,発見,はっけん,はっけん,發現,N3,kanji
n3_0055,ひかく,比較,ひかく,ひかく,比較,N3,kanji
n3_0056,ひょうか,評価,ひょうか,ひょうか,評價,N3,kanji
n3_0057,へんか,変化,へんか,へんか,變化,N3,kanji
n3_0058,ほうこく,報告,ほうこく,ほうこく,報告,N3,kanji
n3_0059,もくてき,目的,もくてき,もくてき,目的,N3,kanji
n3_0060,りかい,理解,りかい,りかい,理解,N3,kanji
n3_0061,あいず,合図,あいず,あいず,訊號、暗示,N3,kanji
n3_0062,あきらめる,諦める,あきらめる,あきらめる,放棄,N3,kanji
n3_0063,あくしゅう,悪臭,あくしゅう,あくしゅう,惡臭、臭味,N3,kanji
n3_0064,あこがれ,憧れ,あこがれ,あこがれ,憧憬,N3,kanji
n3_0065,あずかる,預かる,あずかる,あずかる,保管、照顧,N3,kanji
n3_0066,あたえる,与える,あたえる,あたえる,給予,N3,kanji
n3_0067,あたたまる,温まる,あたたまる,あたたまる,變暖、暖和起來,N3,kanji
n3_0068,あたり,辺り,あたり,あたり,附近、周圍,N3,kanji
n3_0069,あつかう,扱う,あつかう,あつかう,處理、對待,N3,kanji
n3_0070,あてはまる,当てはまる,あてはまる,あてはまる,適用、符合,N3,kanji
n3_0071,あてる,当てる,あてる,あてる,猜中、碰到、照射,N3,kanji
n3_0072,あばれる,暴れる,あばれる,あばれる,大鬧、亂動,N3,kanji
n3_0073,あふれる,溢れる,あふれる,あふれる,溢出、充滿,N3,kanji
n3_0074,あらためる,改める,あらためる,あらためる,改正、重新做,N3,kanji
n3_0075,あらゆる,あらゆる,あらゆる,あらゆる,所有、一切,N3,hiragana
n3_0076,あわせる,合わせる,あわせる,あわせる,合併、配合、對準,N3,kanji
n3_0077,あんい,安易,あんい,あんい,輕易、草率,N3,kanji
n3_0078,いいかえる,言い換える,いいかえる,いいかえる,換句話說、改用別的說法,N3,kanji
n3_0079,いきおい,勢い,いきおい,いきおい,氣勢、勁頭,N3,kanji
n3_0080,いくじ,育児,いくじ,いくじ,育兒,N3,kanji
n3_0081,いけんしょ,意見書,いけんしょ,いけんしょ,意見書、書面意見,N3,kanji
n3_0082,いしきする,意識する,いしきする,いしきする,意識到,N3,kanji
n3_0083,いじ,維持,いじ,いじ,維持,N3,kanji
n3_0084,いずれ,いずれ,いずれ,いずれ,早晚、不久,N3,hiragana
n3_0085,いちぶ,一部,いちぶ,いちぶ,一部分,N3,kanji
n3_0086,いちりゅう,一流,いちりゅう,いちりゅう,一流,N3,kanji
n3_0087,いっしゅ,一種,いっしゅ,いっしゅ,一種,N3,kanji
n3_0088,いっしゅん,一瞬,いっしゅん,いっしゅん,一瞬間,N3,kanji
n3_0089,いっせいに,一斉に,いっせいに,いっせいに,一起、同時,N3,kanji
n3_0090,いったん,一旦,いったん,いったん,一旦、暫且,N3,kanji
n3_0091,いっち,一致,いっち,いっち,一致,N3,kanji
n3_0092,いっぱんてき,一般的,いっぱんてき,いっぱんてき,一般、普遍,N3,kanji
n3_0093,いどうする,移動する,いどうする,いどうする,移動,N3,kanji
n3_0094,いねむり,居眠り,いねむり,いねむり,打瞌睡,N3,kanji
n3_0095,いはん,違反,いはん,いはん,違反,N3,kanji
n3_0096,いよいよ,いよいよ,いよいよ,いよいよ,終於、越來越,N3,hiragana
n3_0097,いんさつ,印刷,いんさつ,いんさつ,印刷,N3,kanji
n3_0098,いんたい,引退,いんたい,いんたい,退休、引退,N3,kanji
n3_0099,うけいれる,受け入れる,うけいれる,うけいれる,接受、接納,N3,kanji
n3_0100,うけもち,受け持ち,うけもち,うけもち,負責、擔任,N3,kanji
n3_0101,うしなう,失う,うしなう,うしなう,失去,N3,kanji
n3_0102,うたがう,疑う,うたがう,うたがう,懷疑,N3,kanji
n3_0103,うちあわせ,打ち合わせ,うちあわせ,うちあわせ,事前討論、會前討論,N3,kanji
n3_0104,うちけす,打ち消す,うちけす,うちけす,否定、消除,N3,kanji
n3_0105,うなずく,うなずく,うなずく,うなずく,點頭,N3,hiragana
n3_0106,うまれ,生まれ,うまれ,うまれ,出生、出身,N3,kanji
n3_0107,うらぎる,裏切る,うらぎる,うらぎる,背叛,N3,kanji
n3_0108,うりあげ,売り上げ,うりあげ,うりあげ,銷售額,N3,kanji
n3_0109,うん,運,うん,うん,運氣,N3,kanji
n3_0110,えいせい,衛生,えいせい,えいせい,衛生,N3,kanji
n3_0111,えいよう,栄養,えいよう,えいよう,營養,N3,kanji
