id,reading,writing,normalizedReading,playReading,zh,level,script
n3_egg_0001,ゆき,行き,ゆき,ゆき,去;方向,N3,kanji
n3_egg_0002,だが,だが,だが,だが,"(雖然,雖說)......但是,可是",N3,hiragana
n3_egg_0003,それでも,それでも,それでも,それでも,即使那樣,N3,hiragana
n3_egg_0004,なんか,なんか,なんか,なんか,"之類,等",N3,hiragana
n3_egg_0005,まあ,まあ,まあ,まあ,"(表示吃驚、感嘆)哎喲,哎呀;還可以;(安慰或鼓勵對方)好了好了",N3,hiragana
n3_egg_0006,ぶん,分,ぶん,ぶん,部分;份;程度;地位,N3,kanji
n3_egg_0007,おれ,俺,おれ,おれ,(非正式場合的男性自稱)我,N3,kanji
n3_egg_0008,ほら,ほら,ほら,ほら,"(用於提醒)喏,瞧",N3,hiragana
n3_egg_0009,てき,敵,てき,てき,敵人;對手,N3,kanji
n3_egg_0010,めのまえ,目の前,めのまえ,めのまえ,"眼前,面前;迫在眉睫",N3,kanji
n3_egg_0011,きになる,気になる,きになる,きになる,"擔心;有意,有心,想要;在意",N3,kanji
n3_egg_0012,むける,向ける,むける,むける,"向,對;派遣",N3,kanji
n3_egg_0013,いままで,今まで,いままで,いままで,至今為止,N3,kanji
n3_egg_0014,ようやく,ようやく,ようやく,ようやく,總算,N3,hiragana
n3_egg_0015,ぜんいん,全員,ぜんいん,ぜんいん,全體成員,N3,kanji
n3_egg_0016,かんじょう,感情,かんじょう,かんじょう,"感情,情緒",N3,kanji
n3_egg_0017,すむ,済む,すむ,すむ,完了;解決;對付過去,N3,kanji
n3_egg_0018,おお,おお,おお,おお,(表示感動、吃驚)啊;(粗魯的應答)嗯;(突然想起)啊,N3,hiragana
n3_egg_0019,せっかく,せっかく,せっかく,せっかく,"特地,好不容易,難得",N3,hiragana
n3_egg_0020,どうしても,どうしても,どうしても,どうしても,怎麼也(不);無論如何,N3,hiragana
n3_egg_0021,おう,追う,おう,おう,"追趕,追求;趕走",N3,kanji
n3_egg_0022,あんまり,あんまり,あんまり,あんまり,(不)太......;太......,N3,hiragana
n3_egg_0023,そのば,その場,そのば,そのば,當場;當時,N3,kanji
n3_egg_0024,つたわる,伝わる,つたわる,つたわる,傳;傳播;聞名;傳導;傳入,N3,kanji
n3_egg_0025,ふる,振る,ふる,ふる,揮;撒,N3,kanji
n3_egg_0026,はなす,離す,はなす,はなす,使離開;隔開,N3,kanji
n3_egg_0027,けん,件,けん,けん,事情;......件,N3,kanji
n3_egg_0028,どれだけ,どれだけ,どれだけ,どれだけ,多少;多麼地,N3,hiragana
n3_egg_0029,ついに,ついに,ついに,ついに,終於;始終(也不),N3,hiragana
n3_egg_0030,おもわれる,思われる,おもわれる,おもわれる,表示從現場的證據和狀況中自然而然得出的判斷或預測,N3,kanji
n3_egg_0031,いつまでも,いつまでも,いつまでも,いつまでも,"永遠,始終",N3,hiragana
n3_egg_0032,ぐうぜん,偶然,ぐうぜん,ぐうぜん,意想不到;偶然,N3,kanji
n3_egg_0033,かた,型,かた,かた,模型;樣式;(老)規矩,N3,kanji
n3_egg_0034,おさえる,抑える,おさえる,おさえる,"抑制,限制;鎮壓",N3,kanji
n3_egg_0035,たった,たった,たった,たった,"只,僅",N3,hiragana
n3_egg_0036,かち,価値,かち,かち,價值,N3,kanji
n3_egg_0037,そっと,そっと,そっと,そっと,靜悄悄地;偷偷地,N3,hiragana
n3_egg_0038,みつめる,見つめる,みつめる,みつめる,凝視;關注,N3,kanji
n3_egg_0039,しかたない,仕方ない,しかたない,しかたない,"沒有辦法的,不得已的",N3,kanji
n3_egg_0040,ちなみに,ちなみに,ちなみに,ちなみに,"順便,附帶",N3,hiragana
n3_egg_0041,なる,鳴る,なる,なる,"(非生物)鳴,響",N3,kanji
n3_egg_0042,なぜか,なぜか,なぜか,なぜか,不知道為什麼,N3,hiragana
n3_egg_0043,じょし,女子,じょし,じょし,女孩子;女子,N3,kanji
n3_egg_0044,しろ,城,しろ,しろ,"城郭,城堡",N3,kanji
n3_egg_0045,した,舌,した,した,舌頭,N3,kanji
n3_egg_0046,あやしい,怪しい,あやしい,あやしい,"奇怪的,可疑的;靠不住的,令人懷疑的",N3,kanji
n3_egg_0047,たつ,経つ,たつ,たつ,"(時間)流逝,過去",N3,kanji
n3_egg_0048,けい,系,けい,けい,......體系;......型別,N3,kanji
n3_egg_0049,なかよく,仲良く,なかよく,なかよく,"和睦,親密",N3,kanji
n3_egg_0050,いいかた,言い方,いいかた,いいかた,說法,N3,kanji
n3_egg_0051,ひっぱる,引っ張る,ひっぱる,ひっぱる,"拉,拽;拉攏;硬拉",N3,kanji
n3_egg_0052,はる,張る,はる,はる,拉;挺;膨脹;覆蓋;(肌肉)發痠,N3,kanji
n3_egg_0053,たいりょう,大量,たいりょう,たいりょう,"大量,多量",N3,kanji
n3_egg_0054,わあ,わあ,わあ,わあ,(表示驚訝或嚇人)哇,N3,hiragana
n3_egg_0055,つかむ,つかむ,つかむ,つかむ,"抓,抓住;掌握",N3,hiragana
n3_egg_0056,たび,旅,たび,たび,"旅行,旅遊",N3,kanji
n3_egg_0057,とく,解く,とく,とく,解開;解答,N3,kanji
n3_egg_0058,おもいつく,思いつく,おもいつく,おもいつく,忽然想出;想起,N3,kanji
n3_egg_0059,はく,吐く,はく,はく,吐;嘔吐;冒出;吐露,N3,kanji
n3_egg_0060,おどろき,驚き,おどろき,おどろき,"驚訝,震驚",N3,kanji
n3_egg_0061,はつげん,発言,はつげん,はつげん,發言,N3,kanji
n3_egg_0062,どうよう,同様,どうよう,どうよう,"同樣,一樣",N3,kanji
n3_egg_0063,そこ,底,そこ,そこ,"底,底部;深處",N3,kanji
n3_egg_0064,ついでに,ついでに,ついでに,ついでに,"順便,順手",N3,hiragana
n3_egg_0065,いくつか,いくつか,いくつか,いくつか,"若干,幾個",N3,hiragana
n3_egg_0066,せんたく,選択,せんたく,せんたく,"選擇,挑選",N3,kanji
n3_egg_0067,いし,意志,いし,いし,"意志,志向",N3,kanji
n3_egg_0068,おなじく,同じく,おなじく,おなじく,"同,又;同樣地",N3,kanji
n3_egg_0069,あしおと,足音,あしおと,あしおと,腳步聲;(比喻)來臨的跡象,N3,kanji
n3_egg_0070,しよう,使用,しよう,しよう,"使用,用",N3,kanji
n3_egg_0071,さがす,捜す,さがす,さがす,"尋找,搜索(不見的東西)",N3,kanji
n3_egg_0072,こえる,越える,こえる,こえる,越過,N3,kanji
