id,pos,verb_class,transitivity,example_ja,example_zh,note
n5_0081,verb,godan_iku_exception,intransitive,学校へ行きます。,去學校。,行く 的て形和た形是特殊變化。
n5_0082,verb,kuru,intransitive,友達が家に来ます。,朋友會來家裡。,
n5_0083,verb,godan,intransitive,午後六時に家へ帰ります。,下午六點回家。,
n5_0084,verb,ichidan,transitive,朝ご飯を食べます。,吃早餐。,
n5_0085,verb,godan,transitive,水を飲みます。,喝水。,
n5_0086,verb,ichidan,transitive,映画を見ます。,看電影。,
n5_0087,verb,godan,transitive,音楽を聞きます。,聽音樂。,
n5_0088,verb,godan,transitive,本を読みます。,讀書。,
n5_0089,verb,godan,transitive,名前を書きます。,寫名字。,
n5_0090,verb,godan,transitive,日本語を話します。,說日文。,
n5_0091,verb,godan,transitive,パンを買います。,買麵包。,
n5_0092,verb,godan,transitive,駅で友達を待ちます。,在車站等朋友。,
n5_0093,verb,godan,intransitive,駅まで歩きます。,走到車站。,
n5_0094,verb,godan,intransitive,プールで泳ぎます。,在游泳池游泳。,
n5_0095,verb,ichidan,intransitive,十一時に寝ます。,十一點睡覺。,
n5_0096,verb,ichidan,intransitive,朝七時に起きます。,早上七點起床。,
n5_0097,verb,godan,transitive,晩ご飯を作ります。,做晚餐。,
n5_0098,verb,godan,transitive,パソコンを使います。,使用電腦。,
