reading,writing,declaredNormalizedReading,zh,script,source_page,source_column,source_entry_no,source_writing
あいま,合間,あいま,事物之間的空隙、間隔；空檔時間,kanji,527,left,01,合間
アワー,アワー,あわあ,小時；時段,katakana,527,left,02,hour
いっきに,一気に,いっきに,一口氣地,kanji,527,left,03,一気に
いっこく,一刻,いっこく,一刻、片刻,kanji,527,left,04,一刻
おくらす,遅らす,おくらす,延遲、拖延,kanji,527,left,05,遅らす
きっかり,きっかり,きっかり,正好、整整,hiragana,527,right,07,きっかり
ゴールデンタイム,ゴールデンタイム,ごおるでんたいむ,黃金時段,katakana,527,right,09,(和) i golden +十 time
じこくひょう,時刻表,じこくひょう,時刻表,kanji,528,left,03,時刻表
じさ,時差,じさ,時差,kanji,528,left,04,時差
じっくり,じっくり,じっくり,慢慢地、仔細地、不慌不忙,hiragana,528,left,05,じっくり
スムーズ,スムーズ,すむうず,順利、流暢,katakana,529,left,24,smooth
ずるずる,ずるずる,ずるずる,拖拖拉拉；滑溜；吸麵等聲音,hiragana,529,left,25,ずるずる
ずれ,ずれ,ずれ,位置、時間意見等、不一致、分岐、偏離、背離、不吻合,hiragana,529,left,26,ずれ
せかす,急かす,せかす,催促,kanji,529,left,27,急かす
そくざに,即座に,そくざに,立即、馬上,kanji,529,left,29,即座に
そくする,即する,そくする,符合、切合；根據,kanji,529,left,30,即する
タイト,タイト,たいと,緊的、貼身的；行程緊湊的,katakana,529,right,31,tigh
タイマー,タイマー,たいまあ,秒錶、計時器、定時器,katakana,529,right,32,timer
タイム,タイム,たいむ,時間；比賽成績；暫停,katakana,529,right,34,time
たんしゅく,短縮,たんしゅく,縮短時間；縮短,kanji,530,left,03,短縮
ついやす,費やす,ついやす,花費、耗費,kanji,530,left,07,費やす
つかのま,束の間,つかのま,一瞬間、轉眼間、轉瞬,kanji,530,left,38,束の間
ときおり,時折,ときおり,有時、偶爾,kanji,530,left,03,時折
はやまる,早まる,はやまる,提前；過早；輕率、貿然,kanji,530,left,42,早まる
まっき,末期,まっき,末期、最後的時期、最後階段、臨終,kanji,530,right,05,末期
もちきり,持ち切り,もちきり,滿是某個話題；始終談論某事,kanji,531,left,49,持ち切り
よか,余暇,よか,閒暇、業餘時間,kanji,531,left,50,余暇
ルーズ,ルーズ,るうず,形動、鬆懈、鬆弛、散漫、吊兒郎當,katakana,531,left,51,loose
かくしゅう,隔週,かくしゅう,每隔一週、隔週,kanji,531,left,01,隔週
がんねん,元年,がんねん,元年,kanji,531,left,02,元年
こよみ,暦,こよみ,曆書,kanji,531,left,03,暦
サイクル,サイクル,さいくる,周期循環、一韓、自行車、和,katakana,531,right,04,cycle
しゅうじつ,終日,しゅうじつ,整天、終日,kanji,531,right,05,終日
スプリング,スプリング,すぷりんぐ,春天、彈簧、跳躍、彈跳,katakana,531,right,,spring
せんだって,先だって,せんだって,前幾天、前些日子、那一天、事先,kanji,531,right,08,先だって
ばんねん,晩年,ばんねん,晚年,kanji,532,left,11,晩年
ひごろ,日頃,ひごろ,平日、平時,kanji,532,left,02,日頃
めざめる,目覚める,めざめる,醒來；覺醒,kanji,532,left,03,目覚める
ゆうぐれ,夕暮れ,ゆうぐれ,黃昏、傍晚,kanji,532,left,14,夕暮れ
いきさつ,経緯,いきさつ,原委、經過,kanji,532,right,01,経緯
いにしえ,古,いにしえ,古代、往昔,kanji,533,left,03,古
いまだ,未だ,いまだ,尚未、仍然,kanji,533,left,04,未だ
かねて,予て,かねて,以前、早先,kanji,533,left,06,予て
がんらい,元来,がんらい,原本、本來,kanji,533,left,07,元来
けいい,経緯,けいい,原委、經過；經度與緯度,kanji,533,left,09,経緯
こだい,古代,こだい,古代,kanji,533,right,10,古代
さきに,先に,さきに,先前、以前,kanji,533,right,11,先に
じきに,直に,じきに,不久後、馬上,kanji,533,right,02,直に
ニュー,ニュー,にゅう,新的、新式的,katakana,534,left,07,new
ひさしい,久しい,ひさしい,好久、長久,kanji,534,left,08,久しい
へんせん,変遷,へんせん,變遷、演變,kanji,534,left,20,変遷
おそくとも,遅くとも,おそくとも,最晚、至遲,kanji,534,right,02,遅くとも
