level,reading,writing,page,column,entry_no,needs_review
N1,あいま,合間,527,left,01,
N1,アワー,hour,527,left,02,
N1,いっきに,一気に,527,left,03,
N1,いっこく,-刻,527,left,04,
N1,おくらす,遅らす,527,left,05,
N1,きっかり,きっかり,527,right,07,
N1,けいか,経過,527,right,08,
N1,ゴールデンタイム,(和) i golden +十 time,527,right,09,
N1,こうりつ,効率,527,right,00,
N1,さっきゅう・そうきゅう,早急,528,left,,1
N1,じこくひよう,時刻表,528,left,03,
N1,じさ,時差,528,left,04,
N1,じっくり,じっくり,528,left,05,
N1,しろくじちゅう,四六時中,528,right,,1
N1,じんそく,迅速,528,right,,1
N1,すぎ,過ぎ,528,right,,1
N1,すばやい,素早い,528,right,,1
N1,すみやか,速やか,528,right,,1
N1,スムーズ,smooth,529,left,24,
N1,ずるずる,ずるずる,529,left,25,
N1,ずれ,ずれ,529,left,26,
N1,せかす,急かす,529,left,27,
N1,せん,先,529,left,28,
N1,そくざに,即座に,529,left,29,
N1,そくする,即する,529,left,30,
N1,タイト,tigh,529,right,31,
N1,タイマー,timer,529,right,32,
N1,タイム,time,529,right,34,
N1,たんしゅく,短縮,530,left,03,
N1,ついやす,費やす,530,left,07,
N1,つかのま,束の間,530,left,38,
N1,ときおり,時折,530,left,03,
N1,ながなが(と,長々(と),530,left,41,
N1,はやまる,早まる,530,left,42,
N1,はやめる,速める・早める,530,right,,1
N1,まちあわせ,待ち合わせ,530,right,,1
N1,まっき,未期,530,right,05,
N1,まつ,未,530,right,07,
N1,もちきり,持ち切り,531,left,49,
N1,よか,余暇,531,left,50,
N1,ルーズ,loose,531,left,51,
N1,かくしゅう,隔週,531,left,01,
N1,がんねん,元年,531,left,02,
N1,こよみ,大,531,left,03,
N1,サイクル,cycle,531,right,04,
N1,しゅうじつ,終日,531,right,05,
N1,スプリング,spring,531,right,,
N1,せつ,節,531,right,07,
N1,せんだって,先だって,531,right,08,
N1,ばんねん,映年,532,left,11,
N1,ひごろ,日頃,532,left,02,
N1,めざめる,目覚める,532,left,03,
N1,ゆうぐれ,夕暮れ,532,left,14,
N1,ゆうやけ,タ焼け,532,left,,1
N1,よふかし,夜更かし,532,left,,1
N1,よふけ,夜更け,532,right,,1
N1,れんきゅう,連休,532,right,,1
N1,れんじつ,連日,532,right,,1
N1,いきさつ,経緯,532,right,01,
N1,いぜん,依然,532,right,02,
N1,いにしえ,証,533,left,03,
N1,いまだ,未だ,533,left,04,
N1,かつて,かつて,533,left,05,
N1,かねて,予て,533,left,06,
N1,がんらい,元来,533,left,07,
N1,きげん,起源,533,left,08,
N1,けいい,経緯,533,left,09,
N1,こだい,古代,533,right,10,
N1,さきに,先に,533,right,11,
N1,じきに,直に,533,right,02,
N1,せんこう,先行,533,right,14,
N1,ニュー,new,534,left,07,
N1,ひさしい,久しい,534,left,08,
N1,ひところ,一頃,534,left,,1
N1,へんせん,変遷,534,left,20,
N1,ぼうとう,冒豆,534,left,,1
N1,うけつける,受け付ける,534,right,01,
N1,おそくとも,遅くとも,534,right,02,
N1,かぎりない,限りない,534,right,03,
N1,かみつ,過密,535,left,04,
N1,きじつ,期日,535,left,08,
N1,きり,きり,535,left,oe,
N1,しゅうき,周期,535,right,08,
N1,ひどり,日取り,535,right,09,
N1,むこう,無効,535,right,00,
N1,いえで,家出,536,left,on,
N1,かまえる,構える,536,left,02,
N1,かまえ,構え,536,left,03,
N1,きしむ,皿む,536,left,,1
N1,こうきょ,皇居,536,right,,1
N1,こもる,籠もる,536,right,,1
N1,じっか,実家,536,right,,1
N1,しゃたく,社宅,536,right,,1
N1,そうしょく,装飾,536,right,,1
N1,つくり,作り・造り,537,left,01,
N1,ていたく,邸宅,537,left,12,
N1,どうきょ,同居,537,left,13,
N1,とじまり,戸締まり,537,left,14,
N1,のきなみ,軒並み,537,left,15,
N1,べっきょ,別居,537,left,06,
N1,インターホン,interphone,537,right,01,
N1,えんがわ,縁側,537,right,,
N1,がいかん,外観,537,right,03,
N1,かだん,花壇,537,right,04,
N1,ガレージ,garage,537,right,05,
N1,がんじょう,頑丈,538,left,00,
N1,かん,管,538,left,00,
N1,さく,机,538,left,08,
N1,タイル,tile,538,left,,1
N1,だん,壇,538,left,00,
N1,とびら,扉,538,left,,
N1,プザー,buzzer,538,left,,1
N1,ほうち,放置,538,right,03,
N1,やしき,屋敷,538,right,01,
