level,reading,writing,page,column,entry_no,needs_review,review_reason,ocr_context
N1,あいま,合間,527,left,01,,,01 | あいま【合間】 / 名 (事物中間的)空隙・ 空聞時間 : 鱗暇 / しごこと あいま しょ5うせつ か
N1,アワー,hour,527,left,02,,,02 | アワー【hour】 / 各.仁) 時間 : 小時 / ラッシュ・アワー。
N1,いっきに,一気に,527,left,03,,,03 |いっきに【一気に】 / 便) 一口氣地 / いっ き    の    ほ
N1,いっこく,-刻,527,left,04,,,04 |いっこく【-刻】 / 嘱形動) 一刻 片刻 : 頑固 : 愛生気 / いっこく   はや   あ
N1,おくらす,遅らす,527,left,05,,,"05 | おくらす【遅らす】 / 和延遲,拖延;(時間)調慢,調回 / よ てい   おく"
N1,きっかり,,527,right,07,1,blank_writing;suspicious_writing,| o7 |きっかり / :           じ はん / : 遼きっかり 1時半。
N1,けいか,経過,527,right,08,,,"08 |けいか【経過】 / (時間的)經過,流逝,度過;過 / | 程,經過"
N1,ゴールデンタイム,(和) i golden +十 time,527,right,09,,,io9| ゴールデンタイム【(和) / i golden +十 time】 / | 創黃金時段(晚上7到 10 點)
N1,こうりつ,効率,527,right,00,,,| 0 |こうりつ【効率】 / i 人 效率 / :   こうりつ わる
N1,さっきゅう・そうきゅう,早急,528,left,,1,blank_entry_no,"| さっきゅう・そうきゅう【早急】 / 盡量快些趕快,趕緊     | 本 / に手配する                廬"
N1,じこくひよう,時刻表,528,left,03,,,3 |じこくひよう【時刻表】    | 詩 / 国電車の時刻表を検索する。          i 2 / 上后投葉電車時刻表 ・                1
N1,じさ,時差,528,left,04,,,4 |じさ【時差】                    | 詩 / (各地標準時間的)時差 ;錯開時間 ji.. / | 點時差(而身體疲倦等)。                1 大
N1,じっくり,,528,left,05,1,blank_writing;suspicious_writing,5 | じっくり                      | 器 / を 朝優地・仔細地・不慌不忙           1 ー / 内       かんが                         5
N1,しろくじちゅう,四六時中,528,right,,1,blank_entry_no,| しろくじちゅう【四六時中】 / 一天到晩一整天 : 経常始終 / しろくじち%う き
N1,じんそく,迅速,528,right,,1,blank_entry_no,| じんそく【迅速】 / 形動) 迅速 / じんそく   しょり
N1,すぎ,過ぎ,528,right,,1,blank_entry_no,|すぎ【過ぎ】 / 超過;過度
N1,すばやい,素早い,528,right,,1,blank_entry_no,"| すばやい【素早い】 / 身體的動作與頭腦的思考很快;迅 / ,和飛快"
N1,すみやか,速やか,528,right,,1,blank_entry_no,| すみやか【速やか】 / ヵ 做事敏捷的樣子'迅速 / すみ        こうどう
N1,スムーズ,smooth,529,left,24,,,"24 | スムーズ【smooth】 / 客.形動) 圓滑',順利;流暢 / |            はなし              すす"
N1,ずるずる,,529,left,25,1,blank_writing;suspicious_writing,25 | ずるずる / 副自 拖拉貌;滑溜;拖拖拉拉 / へん じ    の
N1,ずれ,,529,left,26,1,blank_writing;suspicious_writing,"26 | ずれ / 名) (位置・時間意見等)不一致 分岐 : / 偏離;背離,不吻合"
N1,せかす,急かす,529,left,27,,,27 | せかす【急かす】 / 再 催促 / し ごと
N1,せん,先,529,left,28,,,28 | せん【先】 / 名 先前 以前 先走的一方 / せんじゅうみん   けい い    はら
N1,そくざに,即座に,529,left,29,,,"29 | そくざに【即座に】 / 全 立即,馬上 / 守る 者   へんとう"
N1,そくする,即する,529,left,30,,,30 | そくする【即する】 / 528 |時候、時間、時刻 (2)
N1,タイト,tigh,529,right,31,,,| 31 |タイト【tigh / 緊・緊貼(身) : 緊身裙之略 / | 圏タイトなスケジュールが懸念される。
N1,タイマー,timer,529,right,32,,,"32 | タイマー 【timer】 / | @ 秒錶,計時器;定時器 / | 圏タイマーをセットする。."
N1,タイム,time,529,right,34,,,"34 |タイム【time】 / | る 時,時間 : 時代 時機 : (購)比費 / | 所需時間;(體)比賽暫停"
N1,たんしゅく,短縮,530,left,03,,,3 |たんしゅく【短縮】    ig / ロロ時間を短縮する。       | / 罩縮短時間。                       i4
N1,ついやす,費やす,530,left,07,,,"7 |ついやす【費やす】    1 / 。 用掉',耗費,花費;白費,浪費 ” ji / 目誤月謀費也才。        1"
N1,つかのま,束の間,530,left,38,,,"38 |つかのま【束の間】             1【 / 2一瞬間,轉眼間,轉瞬      i 1 / つか   ま                                   :"
N1,ときおり,時折,530,left,03,,,"3 |ときおり【時折】 / 爺有時,偶爾            1 / ときおりおも だ                  1"
N1,ながなが(と,長々(と),530,left,41,,,41 | ながなが (と) 【長々(と)】 | / | 長長地 冗長: 長久 / 人々と話す」
N1,はやまる,早まる,530,left,42,,,"42 |はやまる【早まる】         |! / 星 倉促,輕率,貿然;過早,提前 ji"
N1,はやめる,速める・早める,530,right,,1,blank_entry_no,"|はやめる【速める・早める】   l9 / F一加速,加快;提前,提早      時 / じこ< はや                    間"
N1,まちあわせ,待ち合わせ,530,right,,1,blank_entry_no,| まちあわせ【待ち合わせ】 / )(指定的時間地點) 等候會見 / 家   あ     おく
N1,まっき,未期,530,right,05,,,5 |まっき【未期】 / ) 末期 最後的時期 ・ 最後階段 : 臨終 / まっ き がん  かんじゃ  たんとう
N1,まつ,未,530,right,07,,,"7 | まつ【未】 / 志-灌計) 末,底;末尾;末期;,末節 / ねんまつ きょう じ   お"
N1,もちきり,持ち切り,531,left,49,,,49 | もちきり【持ち切り】 / 名 (某一自時期)始終談論一件事 / わ だい    も     き
N1,よか,余暇,531,left,50,,,"50 | よか【余暇】 / る 閒暇,業餘時間 / よ か    い"
N1,ルーズ,loose,531,left,51,,,"51 | ルーズ【loose】 / 名・形動) 鬆懈,鬆弛,散漫,吊兒郎當 / せいかつ   おく"
N1,かくしゅう,隔週,531,left,01,,,"01 | かくしゅう【隔週】 / 名) 每隔一週,隔週 / かくし*う 。 はっかん"
N1,がんねん,元年,531,left,02,,,02 | がんねん【元年】 / @ 元年 / へいせいがんねん   はじ
N1,こよみ,大,531,left,03,,,"03 | こよみ【大】 / 名) 曆,曆書 / こよみ"
N1,サイクル,cycle,531,right,04,,,04 |サイクル 【cycle】 / 周期循環・一韓 : 自行車      和
N1,しゅうじつ,終日,531,right,05,,,05 |しゅうじつ【終日】 / る 整天・終日
N1,oe1スプリング,spring,531,right,,1,blank_entry_no;suspicious_reading,"oe 1スプリング【spring】 / : る) 春天;彈簧;跳躍,彈跳"
N1,せつ,節,531,right,07,,,"| 07 |せつ【節】 / ; 寢.江人 季節 ,人節令;時候,時期 : 節操 :"
N1,せんだって,先だって,531,right,08,,,"| 08 |せんだって【先だって】 / | る) 前幾天,前些日子,那一天;事先"
N1,ばんねん,映年,532,left,11,,,11 |ばんねん【映年】                |  【 / ばんねん  むか ~ / 罰晚年在迎又售。         に
N1,ひごろ,日頃,532,left,02,,,"2 |ひごろ【日頃】       【 / #全平素,平日,平党       1 / ひ ころ    ど りょく    み    むす"
N1,めざめる,目覚める,532,left,03,,,"3 |めざめる【目覚める】 / ョFっ 醒,睡醒;覺悟,覺醒,發現 ji: / さいのう 芍 ざ"
N1,ゆうぐれ,夕暮れ,532,left,14,,,14 |ゆうぐれ【夕暮れ】       | / 名黃昏;傍晚            4 / ゆう ぐ
N1,ゆうやけ,タ焼け,532,left,,1,blank_entry_no,"、 ""|ゆうやけ【タ焼け】      出 / ゆう       な / 較タ焼けを眺める。       1"
N1,よふかし,夜更かし,532,left,,1,blank_entry_no,|よふかし【夜更かし】 / 了
N1,よふけ,夜更け,532,right,,1,blank_entry_no,"| よふけ【夜更け】                  回 / 深夜,深更半夜           圖"
N1,れんきゅう,連休,532,right,,1,blank_entry_no,| れんきゅう【連休】 / ) 連假
