reason,level,reading,writing,zh,page,column,entry_no,needs_review
duplicate_lower_or_base_reading,N1,けいか,経過,,527,right,08,
duplicate_lower_or_base_reading,N1,こうりつ,効率,,527,right,00,
needs_review,N1,さっきゅう・そうきゅう,早急,,528,left,,1
needs_review,N1,しろくじちゅう,四六時中,,528,right,,1
needs_review,N1,じんそく,迅速,,528,right,,1
needs_review,N1,すぎ,過ぎ,,528,right,,1
needs_review,N1,すばやい,素早い,,528,right,,1
needs_review,N1,すみやか,速やか,,528,right,,1
duplicate_lower_or_base_reading,N1,せん,先,,529,left,28,
bad_reading_chars,N1,ながなが(と,長々(と),,530,left,41,
needs_review,N1,はやめる,速める・早める,,530,right,,1
needs_review,N1,まちあわせ,待ち合わせ,,530,right,,1
duplicate_lower_or_base_reading,N1,まつ,未,,530,right,07,
duplicate_lower_or_base_reading,N1,せつ,節,,531,right,07,
needs_review,N1,ゆうやけ,タ焼け,,532,left,,1
needs_review,N1,よふかし,夜更かし,,532,left,,1
needs_review,N1,よふけ,夜更け,,532,right,,1
needs_review,N1,れんきゅう,連休,,532,right,,1
needs_review,N1,れんじつ,連日,,532,right,,1
duplicate_lower_or_base_reading,N1,いぜん,依然,,532,right,02,
duplicate_lower_or_base_reading,N1,かつて,かつて,,533,left,05,
duplicate_lower_or_base_reading,N1,きげん,起源,,533,left,08,
duplicate_lower_or_base_reading,N1,せんこう,先行,,533,right,14,
needs_review,N1,ひところ,一頃,,534,left,,1
needs_review,N1,ぼうとう,冒豆,,534,left,,1
duplicate_lower_or_base_reading,N1,うけつける,受け付ける,,534,right,01,
duplicate_lower_or_base_reading,N1,きり,きり,,535,left,oe,
duplicate_lower_or_base_reading,N1,むこう,無効,,535,right,00,
needs_review,N1,きしむ,皿む,,536,left,,1
needs_review,N1,こうきょ,皇居,,536,right,,1
needs_review,N1,こもる,籠もる,,536,right,,1
needs_review,N1,じっか,実家,,536,right,,1
needs_review,N1,しゃたく,社宅,,536,right,,1
needs_review,N1,そうしょく,装飾,,536,right,,1
duplicate_lower_or_base_reading,N1,がいかん,外観,,537,right,03,
duplicate_lower_or_base_reading,N1,かん,管,,538,left,00,
