level,reading,writing,page,column,entry_no,needs_review,review_reason,ocr_headword,ocr_bracket,ocr_context
N2,あくる,明くる,283,left,01,,,あくる,明くる,"01 | あくる【明くる】 / は 次 ,翌,明, 第二 / あ      あさ   たいへん"
N2,いっしゅん,一瞬,283,left,02,,,いっしゅん,一瞬,02 | いっしゅん【一瞬】 / 名) 一瞬間・ 一剤那 / いっし》ん 半 さと
N2,いったん,一旦,283,left,03,,,いったん,一旦,"03 | いったん【一旦】 / 食) 一旦,既然;暫且,姑且 / いったんやくそく            かなら まも"
N2,いつでも,何時でも,283,left,04,,,いつでも,何時でも,"04 |いつでも【何時でも】 / 入 無論什麼時候,隨時,經常,總是 / かんしじょう"
N2,いまに,今に,283,left,05,,,いまに,今に,"05 | いまに【今に】 / 時 就要,即將,馬上,;至今,直到現7 / いま    お    こ"
N2,いまにも,今にも,283,right,06,,,いまにも,今にも,"i06 | いまにも【今にも】 / i 側 馬上,不久,'眼看就要 / :   い    あめ  ふ"
N2,いよいよ,孔々,283,right,07,,,いよいよ,孔々,| 07 | いよいよ【孔々】 / : 側) 了生:果真 :終於: 即特要 : 緊要開 / :         なつやす
N2,えいえん,永遠,283,right,08,,,えいえん,永遠,"| 08 | えいえん【永遠】 / 1 @) 永遠,永恆,永久 / :   えいえん  ねむ"
N2,えいきゅう,永久,283,right,09,,,えいきゅう,永久,"| 9 | えいきゅう【永久】 / i 人永遠,永久 / 4  えいきゅう う選"
N2,おえる,終える,283,right,10,,,おえる,終える,"| 10 |おえる【終える】 / | (他下ー・自ドー) 做完,完成,結束 / :   ざた  お"
N2,おわる,終わる,284,left,01,,,おわる,終わる,"1 |おわる【終わる】          1 / (本tt完畢,結束,告終;做完,完結; j, / (接於其他動詞連用形下)“.完      |"
N2,きしょう,起床,284,left,43,,,きしょう,起床,43 | きしょう【起床】       1 1 / @-自放) 起床                    : / きしょうじかん せってい                    i【
N2,きゅう,旧,284,left,14,1,duplicate_reading,きゅう,旧,14 | きゅう【旧】                          1 / -和あめ 陳舊;往昔 舊日;舊曆農曆; i(! / 前任者
N2,じき,時期,284,left,01,1,duplicate_reading,じき,時期,、 1 |じき【時期】                | / 。 る時期・時候 : 期間 季節     1 2 / じ き かさ                    5
N2,してい,指定,284,right,,,,してい,指定,| してい【指定】 / ・他サ) 指定                                      N2 / じ かん    し てい
N2,しばる,縛る,284,right,,1,reading_auto_cleaned,しばる人,縛る,| しばる人【縛る】 / 五) 純・掴・縛 : 拘束・限制 妹捕 / じ かん   しば
N2,しゅんかん,瞬間,284,right,,,,しゅんかん,瞬間,"| しゅんかん【瞬間】 / 有間,測那間,測那當時。 ~的 / けっていてきしゅ4かん   とら"
N2,しょうしょう,少々,284,right,,,,しょうしょう,少々,") | しょうしょう【少々】 / -画) 少許,一點,稍稍,片刻 / |少々お待ちください。"
