level,reading,writing,page,column,entry_no,needs_review,review_reason
N2,いちおう,一応,400,left,01,,
N2,いんさつ,印刷,400,left,02,,
N2,えはがき,絵葉書,400,left,03,,
N2,おうたい,応対,400,left,,,
N2,ざっおん,雑音,400,left,,,
N2,じゅわき,受話器,400,right,,,
N2,ちょくつう,直通,400,right,,,
N2,つうしん,通信,400,right,,,
N2,つつみ,包み,400,right,,,
N2,でんせん,電線,400,right,,1,duplicate_reading
N2,でんちゅう,電柱,401,left,11,,
N2,でんば,電波,401,left,12,,
N2,といあわせ,問い合わせ,401,left,13,,
N2,とりあげる,取り上げる,401,left,14,,
N2,ないせん,内線,401,left,15,,
N2,ねんがじょう,年賀状,401,left,16,,
N2,はなしちゅう,話し中,401,left,17,,
N2,よびだす,呼び出す,401,right,48,,
N2,あと,跡,401,right,0t,1,duplicate_reading
N2,おしらせ,お知らせ,401,right,02,,
N2,けいじ,掲示,401,right,08,1,duplicate_reading
N2,ごらん,ご覧,401,right,04,,
N2,つうち,通知,402,left,00,,
N2,ふつう,不通,402,left,00,,
N2,ばしゅう,募集,402,left,07,,
N2,ポスター,poster,402,left,08,,
N2,アンテナ,antenna,402,left,01,,
N2,かいせっ,解説,402,left,,,
N2,こうせい,構成,402,right,,1,duplicate_reading
N2,こうひょう,公表,402,right,,,
N2,さつえい,撮影,402,right,,,
N2,スピーチ,speech,402,right,,,
N2,せろん・よろん,世論,402,right,,,
N2,そうぞうしい,騒々しい,402,right,,,
N2,のる,載る,403,left,09,,
N2,ほうそう,放送,403,left,10,1,duplicate_reading
N2,ろんそう,論争,403,right,11,,
N2,いんたい,引退,404,left,01,,
N2,およぎ,泳ぎ,404,left,02,,
N2,からて,空手,404,left,03,,
N2,かんとく,監督,404,left,04,,
N2,くわえる,加える,404,left,05,1,duplicate_reading
N2,こうせき,功績,404,right,05,,
N2,スケート,skate,404,right,,,
N2,すもう,相撲,404,right,,,
N2,せいしき,正式,404,right,,,
N2,たいそう,体操,404,right,,1,duplicate_reading
N2,てきど,適度,404,right,,,
N2,もぐる,潜る,405,left,12,,
N2,ランニング,running,405,left,13,,
N2,アウト,out,405,left,01,,
N2,おぎなう,補う,405,left,02,,
N2,おさめる,収める,405,left,03,1,duplicate_reading
N2,おどりでる,躍り出る,405,left,04,,
N2,かいし,開始,405,right,05,,
N2,かせぐ,稼く,405,right,07,,
N2,きょうぎ,競技,405,right,08,,
N2,くみあわせ,組み合わせ,405,right,09,,
N2,けいば,競馬,405,right,10,,
N2,けん,券,405,right,11,,
N2,さいちゅう,最中,406,left,13,,
N2,じゃくてん,弱点,406,left,14,,
N2,しゅうりょう,終了,406,left,05,,
N2,しょうはい,騰敗,406,left,07,,
N2,しょうぶ,勝負,406,right,08,,
N2,スタンド,stand,406,right,09,,
N2,せんしゅ,選手,406,right,00,,
N2,ぜんりょく,全力,406,right,01,,
N2,たいかい,大会,406,right,02,,
