level,reading,writing,page,column,entry_no,needs_review,review_reason,ocr_headword,ocr_bracket,ocr_context
N2,きゅう,旧,284,left,14,1,duplicate_reading,きゅう,旧,14 | きゅう【旧】                          1 / -和あめ 陳舊;往昔 舊日;舊曆農曆; i(! / 前任者
N2,じき,時期,284,left,01,1,duplicate_reading,じき,時期,、 1 |じき【時期】                | / 。 る時期・時候 : 期間 季節     1 2 / じ き かさ                    5
N2,しばる,縛る,284,right,,1,reading_auto_cleaned,しばる人,縛る,| しばる人【縛る】 / 五) 純・掴・縛 : 拘束・限制 妹捕 / じ かん   しば
N2,ずれる,,285,left,23,1,blank_writing,ずれる,,"23 | ずれる / (自下一) (從原來或正確的位置)錯位 , / 動;離題',背離(主題、正路等)"
N2,そのころ,,285,left,24,1,blank_writing,そのころ,,"24 | そのころ / 起) 當時,那時 / い どうちゅう"
N2,たちまち,,285,left,26,1,blank_writing,たちまち,,"26 | たちまち / 便) 轉眼間 一瞬間 ,很快 ,立刻;忽多 / 突然"
N2,たま,偶,285,left,28,1,duplicate_reading,たま,偶,"28 | たま【偶】 / 遙 偶爾,偶然;難得,少有 / き*うじつ  うれ"
N2,ながびく,長引く,286,left,38,1,reading_auto_cleaned,ながびく人,長引く,"_ 38 | ながびく人【長引く】         1 ( / (唔) 拖長,延長          1"
N2,やがて,,287,left,47,1,blank_writing,やがて,,"47 | やがて / 員 不久,馬上;幾乎,大約 ;歸根究械 / 亦即,就是"
N2,しき,四季,287,right,07,1,duplicate_reading,しき,四季,) | o7 | しき【四季】 / | / :    し き  あじ  中
N2,しゅう,週,287,right,08,1,duplicate_reading,しゅう,週,| os |しゅう【週 / | (・革 星期 ;一圈 / :   せんしゅう    ようつう ひど
N2,じゅう,中,287,right,09,1,duplicate_reading,じゅう,中,1 9 |じゅう【中】 / : (舊)期間 ; 表示整個期間或區域 / :     ねったい ち ほう   いちねんじゅうあつ
N2,站也!,日付,289,right,32,1,unexpected_reading_chars;suspicious_reading,站也!,日付,",i32 |站也! [日付】 / | る)(報紙、新聞上的)日期 / “| 圏日付を入れる。"
N2,譯天亮・1,40 | よなか【夜中,290,left,,1,unexpected_reading_chars;suspicious_reading;suspicious_writing,譯天亮・1,40 | よなか【夜中,譯 天亮・             1【 / 40 | よなか【夜中】                  和 / @ 半夜深夜・午夜
N2,いらい,以来,290,right,05,1,duplicate_reading,いらい,以来,"5 | いらい【以来】 / ) 以來,以後 ;今後,將來 / う        い らい        い     つ"
N2,こん,今,291,left,12,1,duplicate_reading,こん,今,12 | こん【今】 / 現在 : 今天 今年 / こんにち   に ほん   ひつよう
N2,ちゅうせい,中世,291,right,19,1,duplicate_reading,ちゅうせい,中世,"| 19 | ちゅうせい【中世】 / i る) (歷史)中世紀,古代與近代之間(在 / ... 日本指鎌倉、室町時代)"
N2,期間期限i,01 |いちじ【一時,292,left,,1,unexpected_reading_chars;suspicious_reading;suspicious_writing,期間期限i,。 01 |いちじ【一時,"期間 期限                i【 / 。 01 |いちじ【一時】          征 / 四-表) 某時期 ,一段時間;那時;暫時; ji0"
