reason,level,reading,writing,zh,page,column,entry_no,needs_review,review_reason
duplicate_reading,N2,いちおう,一応,,400,left,01,,
duplicate_reading,N2,いんさつ,印刷,,400,left,02,,
duplicate_reading,N2,えはがき,絵葉書,,400,left,03,,
duplicate_reading,N2,おうたい,応対,,400,left,,,
needs_review,N2,でんせん,電線,,400,right,,1,duplicate_reading
duplicate_reading,N2,とりあげる,取り上げる,,401,left,14,,
duplicate_reading,N2,よびだす,呼び出す,,401,right,48,,
needs_review,N2,あと,跡,,401,right,0t,1,duplicate_reading
needs_review,N2,けいじ,掲示,,401,right,08,1,duplicate_reading
duplicate_reading,N2,つうち,通知,,402,left,00,,
duplicate_reading,N2,ふつう,不通,,402,left,00,,
blank_zh,N2,アンテナ,antenna,,402,left,01,,
needs_review,N2,こうせい,構成,,402,right,,1,duplicate_reading
bad_reading_chars,N2,せろん・よろん,世論,,402,right,,,
duplicate_reading,N2,のる,載る,,403,left,09,,
needs_review,N2,ほうそう,放送,,403,left,10,1,duplicate_reading
duplicate_reading,N2,いんたい,引退,,404,left,01,,
needs_review,N2,くわえる,加える,,404,left,05,1,duplicate_reading
duplicate_reading,N2,せいしき,正式,,404,right,,,
needs_review,N2,たいそう,体操,,404,right,,1,duplicate_reading
duplicate_reading,N2,おぎなう,補う,,405,left,02,,
needs_review,N2,おさめる,収める,,405,left,03,1,duplicate_reading
duplicate_reading,N2,かせぐ,稼く,,405,right,07,,
duplicate_reading,N2,くみあわせ,組み合わせ,,405,right,09,,
duplicate_reading,N2,けん,券,,405,right,11,,
duplicate_reading,N2,しょうぶ,勝負,,406,right,08,,
duplicate_reading,N2,せんしゅ,選手,,406,right,00,,
duplicate_reading,N2,ようす,様子,,407,right,32,,
duplicate_reading,N2,すじ,筋,,408,left,0e,,
duplicate_reading,N2,トラック,track,,408,left,07,,
needs_review,N2,たび,旅,,409,left,05,1,duplicate_reading
duplicate_reading,N2,あたり,当たり,,410,left,,,
needs_review,N2,ほり,彫り,,412,left,17,1,duplicate_reading
needs_review,N2,おん,音,,412,right,03,1,duplicate_reading
needs_review,N2,がっき,楽器,,412,right,05,1,duplicate_reading
duplicate_reading,N2,かよう,歌謡,,413,left,07,,
blank_zh,N2,からから,からから,,413,left,08,,
blank_zh,N2,がらがら,がらがら,,413,left,09,,
needs_review,N2,きょく,曲,,413,left,10,1,duplicate_reading
duplicate_reading,N2,あく,開く,,414,left,00,,
duplicate_reading,N2,えんぎ,演技,,414,left,03,,
duplicate_reading,N2,かんきゃく,観客,,414,right,,,
duplicate_reading,N2,しばい,芝居,,414,right,,,
needs_review,N2,だい,題,,415,left,15,1,duplicate_reading
duplicate_reading,N2,ダンス,dance,,415,left,16,,
duplicate_reading,N2,まく,幕,,415,right,19,,
duplicate_reading,N2,いっしゅ,一種,,416,left,00,,
duplicate_reading,N2,おのおの,各々,,416,left,02,,
duplicate_reading,N2,きじゅん,基準,,416,left,,,
needs_review,N2,きゅうそく,急束,,416,left,05,1,duplicate_reading
duplicate_reading,N2,くらい,位,,416,right,,,
needs_review,N2,しめる,占める,,416,right,,1,duplicate_reading
duplicate_reading,N2,すう,数,,417,left,11,,
duplicate_reading,N2,だいぶぶん,大部分,,417,left,13,,
duplicate_reading,N2,とおり,通り,,417,left,17,,
duplicate_reading,N2,なし,無し,,417,right,19,,
duplicate_reading,N2,ひと,-,,417,right,21,,
needs_review,N2,もっとも,最も,,418,right,,1,duplicate_reading
needs_review,N2,やく,約,,418,right,,1,duplicate_reading
needs_review,N2,えんしゅう,円周,,419,left,01,1,duplicate_reading
duplicate_reading,N2,かくりつ,確率,,419,left,02,,
duplicate_reading,N2,かじょう,過剰,,419,left,04,,
needs_review,N2,くわわる,加わる,,419,left,05,1,reading_auto_cleaned
duplicate_reading,N2,ごうけい,合計,,419,right,07,,
duplicate_reading,N2,ぞうか,増加,,419,right,0m,,
blank_zh,N2,ぴたり,ぴたり,,419,right,01,,
blank_zh,N2,まし,まし,,419,right,13,,
duplicate_reading,N2,あまる,余る,,420,left,01,,
duplicate_reading,N2,ある,或る,,420,left,02,,
duplicate_reading,N2,いく,幾,,420,right,04,,
blank_zh,N2,うんと,うんと,,420,right,07,,
duplicate_reading,N2,すべて,全て,,421,left,14,,
duplicate_reading,N2,だん,段,,421,right,19,,
needs_review,N2,ちゅう,中,,421,right,20,1,duplicate_reading
blank_zh,N2,どっと,どっと,,421,right,22,,
duplicate_reading,N2,よけい,余計,,422,right,,,
needs_review,N2,りょう,量,,422,right,,1,duplicate_reading
duplicate_reading,N2,わずか,僅か,,422,right,,,
duplicate_reading,N2,かんかく,間隔,,423,left,03,,
