level,page,column,entry_no,headword,bracket,ocr_context
N3,143,left,01,あける,明ける,"01 | あける【明ける】 / 自一(天)明,亮;過年;(期間)結束 / 期滿"
N3,143,left,02,あっというま(に,あっ いう間 (に),02 | あっというま(に)【あっ / いう間 (に) 】 / 感 一眨眼的功夫
N3,143,left,03,いそぎ,急ぎ,"03 | いそぎ【急ぎ】 / 名.玉) 急忙,匆忙,緊急 / 団急ぎの旅になる。"
N3,143,left,04,うつる,移る,04 | うつる【移る】 / 中移動 : 推移 : 活到 / とまき  ウラ
N3,143,left,05,おくれ,遅れ,"05 | おくれ【遅れ】 / 名 落後,晚;畏縮,'怯懦 / 142 | 時候、時間、時刻"
N3,143,right,00,ぎりぎり,,"| 0 |ぎりぎり / ' | 敘:玉-他分(容量等)最大限度 ',極限;(麻 / ; 擦的)咱吱聲"
N3,143,right,07,こうはん,後半,= | 07 | こうはん【後半】 / ; 包)後半・後一半 / :   こうはん       おお    ま
N3,143,right,08,しばらく,,io8 |しばらく / i 圓 好久 暫時 / 8      還  かいしゃ  やす
N3,143,right,09,しょうご,正午,ー 09 | しょうご【正午】 / 3 る) 正午 / :     しょう ご
N3,143,right,10,しんや,深夜,| To |しんや【深夜 / | 深夜 / 2
N3,144,left,11,ずっと,,11 | ずっと                  1 / 圏ずっと待っている。      國! / 庫一直等竺著。           i 8
N3,144,left,12,せいき,世紀,"12 |せいき【世紀】            1 / 包 世紀 ・百代: 時代 ・年代:百年一現, 人 / 絕世                        ーー"
N3,144,left,13,ぜんはん,前半,13 |ぜんはん【前半】              1 / 前半・ 前半部           中 / ぜんはん たたか   お           : 時
N3,144,left,14,そうちょう,上早朝,14 | そうちょう【上早朝】      | e / 負 早最 : 清展            間 / そうちょう 。 べんきょう                 :
N3,144,left,15,たつ,経つ,"15 | たつ【経つ】              i 略 / 人 経,較 (炭火等)焼毒         | 讓 / じ かん  し     はや            :"
N3,144,left,16,ちこく,遅刻,"16 | ちこく【遅刻】             | / 秘和遲到,晚到"
N3,144,right,,てつや,徹夜,"| てつや【徹夜】                     性 / 自サ) 通宵 ,鰲夜                        間 / てつ や    の ゴー"
N3,144,right,,どうじに,同時に,| どうじに【同時に】 / 同時一次 : 馬上 立刻 / はつばい どうじ だい
N3,144,right,,とつぜん,突然,| とつぜん【突然】 / 突然 / とつぜんおこ    ss
N3,144,right,,はじまり,始まり,| はじまり【始まり】 / 開始 ・ 開端 : 起源 / きんだいいがく はじ
N3,144,right,,はじめ,始め,| はじめ【始め】 / 臣) 開始 ・開頭 : 起因・起源 : 以… / 、 お            ぜん ぶ よ
N3,145,left,22,ふける,更ける,22 | ふける【更ける】 / mmつ (秋)深(夜)剛 / 団夜が更ける。
N3,145,left,23,ぶり,振り,23 | ぶり【振り】 / 渾否) 相隔 / ねん ぶ     あ
N3,145,left,24,へる,経る,"24 | へる【経る】 / (還つ (時間、空間、事物)經過,通 / ねん   人"
N3,145,left,25,まい,毎,25 | まい【毎】 / 5 每 / まいあさ ぎゅうにゅうぅ  の
N3,145,left,26,まえもって,前もって,"26 | まえもって【前もって】 / 人 預先,事先 / まえ       し"
