level,reading,writing,page,column,entry_no,needs_review
N3,あっというま(に,あっいう間(に),143,left,02,unbalanced_parentheses
N3,季節・年・月ヽ週日,季節・年・月ヽ週日,145,left,44,reading_has_non_kana;writing_has_unexpected_chars
N3,回週,-1回運動する。i,146,left,,reading_has_non_kana;writing_has_unexpected_chars
N3,人StA,來,148,right,,reading_has_non_kana;reading_has_ocr_artifact
N3,圳{了,期限,149,left,04,reading_has_non_kana;reading_has_ocr_artifact
N3,シーズン人,season,149,left,95,reading_has_non_kana;writing_has_unexpected_chars
N3,誤尤万素名,暖未名,151,right,01,reading_has_non_kana
N3,ふろ(ば,風呂(場),152,right,,unbalanced_parentheses
N3,ガム,(英)gum,154,left,06,suspicious_katakana_writing;writing_has_ocr_artifact
N3,ICELk3,胡椒,154,right,,reading_has_non_kana;reading_has_ocr_artifact
N3,ビール,(和荷)bier,156,left,28,suspicious_katakana_writing;writing_has_ocr_artifact
N3,它<,囊<,157,right,01,reading_has_non_kana;writing_has_unexpected_chars;reading_has_ocr_artifact;writing_has_ocr_artifact
N3,又d,襟,158,left,o,reading_has_non_kana
N3,才一八一(己一卜,overcoat,158,left,02,reading_has_non_kana;writing_has_unexpected_chars;unbalanced_parentheses
N3,二之,福,158,left,05,reading_has_non_kana
N3,四<,嗅7,162,right,,reading_has_non_kana;writing_has_unexpected_chars;reading_has_ocr_artifact
N3,未六友,瞼,163,left,15,reading_has_non_kana
N3,誠<,瓜<,164,left,00,reading_has_non_kana;writing_has_unexpected_chars;reading_has_ocr_artifact;writing_has_ocr_artifact
N3,せいねんがっぴ,生年月E,167,left,05,writing_has_unexpected_chars
N3,為打<,渴<1,169,left,03,reading_has_non_kana;writing_has_unexpected_chars;reading_has_ocr_artifact;writing_has_ocr_artifact
N3,ねむる人,眠る,170,left,14,reading_has_non_kana
N3,ボランティア,volunteer),175,left,24,unbalanced_parentheses
N3,けしょう,化粧1,176,left,94,writing_has_unexpected_chars
N3,LU上93才上-<之者,消極的,177,left,12,reading_has_non_kana;reading_has_ocr_artifact
