declaredNormalizedReading,reading,writing,zh,source_page,source_column,source_entry_no
あっというまに,あっというまに,あっという間に,一眨眼的功夫,143,left,02
おくれ,おくれ,遅れ,落後、遲延,143,left,05
ぎりぎり,ぎりぎり,ぎりぎり,最大限度、極限,143,right,00
こうはん,こうはん,後半,後半、後一半,143,right,07
しょうご,しょうご,正午,正午、中午十二點,143,right,09
しんや,しんや,深夜,深夜、很晚的夜裡,143,right,10
せいき,せいき,世紀,世紀、時代、年代,144,left,12
ぜんはん,ぜんはん,前半,前半、前半部,144,left,13
そうちょう,そうちょう,早朝,早晨、清晨,144,left,14
ちこく,ちこく,遅刻,遲到,144,left,16
どうじに,どうじに,同時に,同時、馬上,144,right,
とつぜん,とつぜん,突然,突然、出乎意料地,144,right,
はじまり,はじまり,始まり,開始、開端、起源,144,right,
ふける,ふける,更ける,夜深,145,left,22
ぶり,ぶり,振り,相隔,145,left,23
へる,へる,経る,經過、通,145,left,24
まえもって,まえもって,前もって,預先、事先,145,left,26
まよなか,まよなか,真夜中,三更半夜、深夜,145,left,27
やかん,やかん,夜間,夜間、晚上時段,145,left,28
いっさくねん,いっさくねん,一昨年,前年,145,right,02
げじゅん,げじゅん,下旬,下旬、月底前十天,145,right,05
げつまつ,げつまつ,月末,月末、月底,146,left,oe
さくねん,さくねん,昨年,去年,146,left,00
じつ,じつ,日,太陽、日、一天白天、毎天,146,left,19
しゅう,しゅう,週,週、星期、一圈,146,left,01
じょうじゅん,じょうじゅん,上旬,上旬、月初十天,146,right,
せんじつ,せんじつ,先日,前天、前些日子,146,right,04
ぜんじつ,ぜんじつ,前日,前一天,146,right,
ちゅうじゅん,ちゅうじゅん,中旬,中旬、每月中間十天,146,right,
ねんし,ねんし,年始,年初、賀年、寿年,146,right,
ねんまつねんし,ねんまつねんし,年末年始,年底與新年,147,left,18
へいじつ,へいじつ,平日,平日、平常,147,left,19
ほんじつ,ほんじつ,本日,本日、今日,147,left,20
ほんねん,ほんねん,本年,本年、今年,147,left,21
みょう,みょう,明,更明,147,left,22
ようび,ようび,曜日,星期,147,right,24
よく,よく,翌,翌、隔天,147,right,25
よくじつ,よくじつ,翌日,隔天、第二天,147,right,26
いご,いご,以後,以後、從此之後,147,right,ot
いぜん,いぜん,以前,以前、更低階段的,147,right,02
げんだい,げんだい,現代,現代、現在的時代,147,right,03
こんご,こんご,今後,今後、從今以後,148,left,04
じご,じご,事後,事後、事情發生之後,148,left,08
ちょくご,ちょくご,直後,緊接著、剛...之後、之後不久,148,left,00
ちょくぜん,ちょくぜん,直前,即將發生之前,148,right,
みらい,みらい,未来,將來、未來、來世,148,right,
しいずん,シーズン,シーズン,季節、時期,149,left,95
しめきり,しめきり,締め切り,截止、屆滿、封死、封閉、截斷、斷流,149,left,66
まにあわせる,まにあわせる,間に合わせる,臨時湊合就將、使來得及、趕出來,149,right,08
きたく,きたく,帰宅,回家,150,left,02
くらす,くらす,暮らす,生活、度日,150,left,03
じょう,じょう,晴,塊、得、重時,150,left,05
すごす,すごす,過ごす,度、過生活、過、過量、放過、不管,150,right,06
せいけつ,せいけつ,清潔,乾淨的、清潔的、廉潔、純潔,150,right,07
るすばん,るすばん,留守番,看家、看家人,150,right,o
わが,わが,我が,點我刻宗入、上皮記三,151,left,12
とじる,とじる,閉じる,關閉、結束,151,left,01
のっく,ノック,ノック,敲打、敲門、打球,151,left,02
べらんだ,ベランダ,ベランダ,陽臺、走廊,151,left,03
やね,やね,屋根,屋頂,151,left,04
やぶる,やぶる,破る,弄破、違反、打敗,151,left,05
ろっく,ロック,ロック,上鎖、鎖住,151,right,oe
だんぼう,だんぼう,暖房,暖氣、暖房,151,right,01
かざり,かざり,飾り,裝飾,151,right,08
きっちん,キッチン,キッチン,廚房,151,right,05
しんしつ,しんしつ,寝室,臥室、寢室,152,left,oe
せんめんじょ,せんめんじょ,洗面所,化妝室廁所色,152,left,07
だいにんぐ,ダイニング,ダイニング,餐廳、用餐空間,152,left,08
つまる,つまる,詰まる,擠滿、塞滿、堵塞、不通、罕困、上、窘迫、縮短、緊小、停頓、擱淺,152,left,10
てんじょう,てんじょう,天井,天花板,152,left,11
はしら,はしら,欄,柱子、支柱、靠山,152,left,12
ぷらいんど,プラインド,プラインド,百葉窗、窗簾、遮光物,152,right,
まどり,まどり,間取り,房間佈局、採間、平麵佈局,152,right,
もうふ,もうふ,毛布,毛毯、壬子,152,right,
ゆか,ゆか,床,地板,152,right,
よわめる,よわめる,弱める,減弱、削弱,152,right,
りびんぐ,リビング,リビング,客廳、起居室,152,right,
あぶら,あぶら,脂,脂肪、油脂、活動力、幹勁,153,left,01
しょくご,しょくご,食後,飯後、食後,153,left,05
しょくぜん,しょくぜん,食前,飯前,153,right,06
すっぱい,すっぱい,酸っぱい,酸、酸的,153,right,07
まなあ,マナー,マナー,禮貌、規矩、態度舉止、風格,153,right,08
めにゅう,メニュー,メニュー,菜單,153,right,00
らんち,ランチ,ランチ,午餐,153,right,00
いんすたんと,インスタント,インスタント,即食、即溶,154,left,03
おれんじ,オレンジ,オレンジ,急柳橙、柳丁、欄色,154,left,95
がむ,ガム,ガム,口香糖,154,left,06
かゆ,かゆ,紗,粥、稀飯,154,right,
けちゃっぷ,ケチャップ,ケチャップ,番茄醬,154,right,
さけ,さけ,酒,日本酒、清酒,154,right,
しゅ,しゅ,酒,酒、酒類,155,left,13
しょよくりょう,しょよくりょう,食料,食品食物,155,left,15
しょくりょよう,しょくりょよう,食糧,食糧、糧食,155,left,16
