reason,level,reading,writing,page,column,entry_no,needs_review
duplicate_reading,N4,うら,裏,71,left,01,
duplicate_reading,N4,おもて,表,71,left,02,
duplicate_reading,N4,いがい,以外,71,left,03,
duplicate_reading,N4,まんなか,真ん中,71,left,05,
duplicate_reading,N4,あいだ,間,71,right,07,
duplicate_reading,N4,すみ,隅,71,right,08,
duplicate_reading,N4,てまえ,手前,71,right,09,
duplicate_reading,N4,ほう,方,72,left,14,
duplicate_reading,N4,あく,空く,72,left,15,
duplicate_reading,N4,ちり,地理,72,left,01,
duplicate_reading,N4,しゃかい,社会,72,right,02,
duplicate_reading,N4,せいよう,西洋,72,right,03,
duplicate_reading,N4,せかい,世界,72,right,04,
duplicate_reading,N4,いなか,田舎,72,right,07,
duplicate_reading,N4,こうがい,郊外,73,left,08,
duplicate_reading,N4,しま,島,73,left,09,
duplicate_reading,N4,かいがん,海岸,73,left,10,
duplicate_reading,N4,みずうみ,湖,73,left,11,
duplicate_reading,N4,あさい,浅い,73,left,12,
duplicate_reading,N4,さか,坂,73,right,09,
duplicate_reading,N4,さっき,,74,left,00,
duplicate_reading,N4,ゆうべ,夕ベ,74,left,02,
duplicate_reading,N4,さいきん,最近,74,left,04,
duplicate_reading,N4,さいご,最後,74,left,05,
duplicate_reading,N4,さいしょ,最初,74,right,06,
duplicate_reading,N4,むかし,昔,74,right,07,
duplicate_reading,N4,ただいま,唯今・只今,74,right,,
writing_exists_with_other_reading,N4,あす,明日,74,right,,
duplicate_reading,N4,こんど,今度,75,left,11,
duplicate_reading,N4,さらいしゅう,再来週,75,left,12,
duplicate_reading,N4,さらいげつ,再来月,75,left,13,
duplicate_reading,N4,しょうらい,将来,75,left,14,
duplicate_reading,N4,とき,時,75,left,01,
duplicate_reading,N4,とし,年,75,right,08,
duplicate_reading,N4,はじめる,始める,75,right,04,
duplicate_reading,N4,おわり,終わり,75,right,08,
duplicate_reading,N4,いそぐ,急く,75,right,09,
duplicate_reading,N4,まにあう,間に合う,75,right,08,
duplicate_reading,N4,おこす,起こす,76,left,10,
duplicate_reading,N4,ひるま,昼間,76,left,11,
duplicate_reading,N4,くれる,暮れる,76,right,02,
duplicate_reading,N4,じだい,時代,76,right,,
duplicate_reading,N4,おかげ,お陰,77,left,05,
duplicate_reading,N4,おだいじに,お大事に,77,right,07,
duplicate_reading,N4,かしこまりました,左まりました,77,right,08,
needs_review,N4,おめでとうございます,おめでとうございます,77,right,10,MANUAL_REVIEW
duplicate_reading,N4,おじょうさん,お嬢さん,78,left,04,
duplicate_reading,N4,だいがくせい,大学生,78,right,,
duplicate_reading,N4,せんぱい,先輩,78,right,,
duplicate_reading,N4,きゃく,客,78,right,,
duplicate_reading,N4,てんいん,店員,78,right,,
duplicate_reading,N4,しゃちょう,社長,78,right,,
duplicate_reading,N4,しみん,市民,79,left,12,
duplicate_reading,N4,きみ,君,79,left,13,
duplicate_reading,N4,いん,員,79,left,14,
duplicate_reading,N4,かた,方,79,left,15,
duplicate_reading,N4,だんせい,男性,79,left,01,
duplicate_reading,N4,じょせい,女性,79,left,02,
duplicate_reading,N4,かのじょ,彼女,79,left,03,
duplicate_reading,N4,みな,皆,79,right,08,
duplicate_reading,N4,あつまる,集まる,79,right,09,
duplicate_reading,N4,あつめる,集める,79,right,10,
duplicate_reading,N4,つれる,連れる,80,left,11,
duplicate_reading,N4,かける,欠ける,80,left,12,
duplicate_reading,N4,そぼ,祖母,80,left,02,
duplicate_reading,N4,おや,親,80,left,03,
