declaredNormalizedReading,zh
うち,裡面、之內
まわり,周圍、附近
てもと,手邊、身邊
こっち,這邊、這個
どっち,哪邊、哪一個
とおく,遠處
こくない,國內
むら,村莊
あじあ,亞洲
あふりか,非洲
あめりか,美國、美洲
けん,縣
このあいだ,前些日子、最近那次
こんや,今晚
すぐに,立刻、馬上
あさねぼう,睡過頭
このごろ,最近、這陣子
いってまいります,我出門了
いってらっしゃい,慢走、路上小心
よくいらっしゃいました,歡迎光臨、歡迎來訪
おまたせしました,讓您久等了
それはいけませんね,那可不太好
おこさん,您的孩子
むすこさん,您的兒子
むすめさん,您的女兒
こうこうせい,高中生
おかねもち,有錢人
かれ,他、男朋友
かれし,男朋友
あかちゃん,嬰兒、寶寶
こそだて,育兒
せわ,照顧、關照
かっこう,樣子、打扮
くび,脖子
せなか,背部、背後
おなら,放屁
いきる,活著、生存
なくなる,去世、消失
ねむる,睡覺
だいえっと,減肥、節食
かふんしょう,花粉症
へるぱあ,照護員、幫手
おいしゃさん,醫生
てしまう,做完、糟糕地做了
うんどう,運動
てにすこおと,網球場
しあい,比賽
くうき,空氣
がそりん,汽油
がらす,玻璃
ないろん,尼龍
あじみ,試味道
おおさじ,大匙
こさじ,小匙
こおひいかっぷ,咖啡杯
らっぷ,保鮮膜
ゆうはん,晚餐
じゃむ,果醬
がいしょく,外食
きつえんせき,吸菸座
きんえんせき,禁菸座
えんかい,宴會
かんげいかい,歡迎會
そうべつかい,送別會
のみほうだい,喝到飽
おつまみ,下酒菜、小菜
さらだ,沙拉
すてえき,牛排
だいきらい,非常討厭
かわりに,代替、作為交換
れじ,收銀台
きもの,和服
したぎ,內衣
いやりんぐ,耳環
さんだる,涼鞋
あくせさりい,飾品、配件
すうつ,西裝、套裝
そふと,軟體
はんどばっぐ,手提包
おくじょう,屋頂
おうせつま,會客室
むかう,朝向、前往
びる,大樓
えすかれえたあ,電扶梯
せいかつ,生活
なまごみ,廚餘
もえるごみ,可燃垃圾
にかいだて,兩層樓建築
すうつけえす,行李箱
がすこんろ,瓦斯爐
かんそうき,烘乾機
こいんらんどりい,投幣式自助洗衣店
すてれお,立體音響
けいたいでんわ,手機
べる,鈴、鈴聲
たいぷ,類型、打字
どうぐ,工具、道具
じんじゃ,神社
てら,寺廟
どうぶつえん,動物園
おおとばい,機車
とっきゅう,特急列車
がそりんすたんど,加油站
こうじちゅう,施工中
ばんせん,月台線、乘車線
いっぽうつうこう,單行道
うちがわ,內側
そとがわ,外側
ちかみち,近路、捷徑
うんてんせき,駕駛座
じゆうせき,自由座
つうこうどめ,禁止通行
しゅうでん,末班電車
しんごうむし,闖紅燈
ちゅうしゃいはん,違規停車
とおる,通過、經過
あそび,玩樂、遊戲
ことり,小鳥
つる,釣魚
たのしむ,享受、期待
ばんぐみ,節目
ぴあの,鋼琴
こんさあと,音樂會
おこなう,舉行、進行
ぷれぜんと,禮物
げんごがく,語言學
けいざいがく,經濟學
じてん,辭典
ひるやすみ,午休
れぽおと,報告
ぜんき,前期、上學期
こうき,後期、下學期
そつぎょうしき,畢業典禮
えいかいわ,英語會話
にゅうもんこうざ,入門課程
ねむたい,想睡的
しんぶんしゃ,報社
こうぎょう,工業
じきゅう,時薪
けいかく,計畫
ぎじゅつ,技術
がんばる,努力、加油
やめる,辭職、停止
ぱあと,兼職、工讀
てつだい,幫忙
かいぎしつ,會議室
かちょう,課長
ちぇっく,檢查、確認
のおとぱそこん,筆記型電腦
ですくとっぷぱそこん,桌上型電腦
きいぼおど,鍵盤
まうす,滑鼠
すたあとぼたん,開始按鈕
くりっく,點擊
にゅうりょく,輸入
ほおむぺえじ,網頁、首頁
ぶろぐ,部落格
いんすとおる,安裝
じゅしん,收信、接收
しんきさくせい,新增、建立新檔
めえる,電子郵件
めえるあどれす,電子郵件地址
あどれす,地址、網址
あてさき,收件人、寄送地址
けんめい,主旨
そうにゅう,插入
さしだしにん,寄件人
てんぷ,附件、附加
そうしん,送信、傳送
てんそう,轉寄、轉送
きゃんせる,取消
ふぁいる,檔案
ほぞん,保存
へんしん,回信
とくばいひん,特價品
ばあげん,特賣、折扣拍賣
ちゅうし,中止、取消
くれじっとかあど,信用卡
こうきょうりょうきん,公共費用、水電瓦斯費
しおくり,匯生活費、補貼
わりあい,比例、比率
ちかん,色狼、性騷擾者
すとおかあ,跟蹤狂
こわす,弄壞、破壞
たす,加上、補足
たりる,足夠
おおい,多的
おおきな,大的
ちいさな,小的
きもち,心情、感覺
こわい,可怕的
もてる,受歡迎、拿得動
らぶらぶ,甜蜜恩愛
うれしい,高興的
ゆうもあ,幽默
ざんねん,可惜、遺憾
おくる,寄送、送出
まま,照原樣、狀態
ばあい,情況、場合
によると,根據
あんな,那樣的
げんいん,原因
よろしい,可以、好的
しょうち,知道、同意
にっき,日記
てきすと,課本、教材
まんが,漫畫
これから,從現在起、接下來
ずっと,一直、更加
まず,首先
もうすぐ,快要、馬上
ずいぶん,相當、非常
そんなに,那麼、那樣地
ばかり,淨是、剛剛
ひじょうに,非常
べつに,並沒有特別、另外
ほど,程度、大約
ほとんど,幾乎、大部分
わりあいに,比較、相對地
こう,這樣
もし,如果
すると,於是、這樣一來
それで,因此、所以
それに,而且、再加上
だから,所以
おき,每隔
ばい,倍
さま,先生/女士、樣子
せい,製、製造
にくい,難以
ながら,一邊、雖然
くださる,給我、為我做
ございます,有、是
でございます,是
ぞんじあげる,知道、認識的謙讓語
